Date,CNH,DXY
41856,6.1692,81.328
41857,6.1604,81.444
41858,6.1665,81.524
41859,6.155,81.389
41862,6.1535,81.466
41863,6.1595,81.5
41864,6.1585,81.596
41865,6.1517,81.588
41866,6.147,81.424
41869,6.1411,81.576
41870,6.1442,81.883
41871,6.1448,82.226
41872,6.1538,82.154
41873,6.1568,82.336
41876,6.155,82.549
41877,6.1505,82.65
41878,6.1438,82.428
41879,6.1503,82.477
41880,6.1494,82.748
41883,6.1459,82.748
41884,6.1522,82.992
41885,6.145,82.865
41886,6.1468,83.82
41887,6.1412,83.739
41890,6.14,84.232
41891,6.1385,84.278
41892,6.1333,84.283
41893,6.1366,84.298
41894,6.1406,84.24
41897,6.1707,84.264
41898,6.1561,84.074
41899,6.158,84.345
41900,6.1458,84.323
41901,6.1443,84.735
41904,6.1534,84.752
41905,6.1422,84.658
41906,6.1395,85.037
41907,6.1474,85.195
41908,6.1445,85.64
41911,6.1787,85.591
41912,6.1792,85.936
41913,6.1703,85.972
41914,6.1606,85.601
41915,6.1674,86.694
41918,6.1529,85.928
41919,6.147,85.672
41920,6.1392,85.297
41921,6.139,85.522
41922,6.1413,85.912
41925,6.136,85.532
41926,6.1411,85.822
41927,6.135,85.147
41928,6.1425,84.955
41929,6.1413,85.11
41932,6.1332,84.953
41933,6.1276,85.303
41934,6.1246,85.741
41935,6.1252,85.843
41936,6.124,85.732
41939,6.1199,85.495
41940,6.1143,85.408
41941,6.117,85.952
41942,6.1176,86.147
41943,6.128,86.917
41946,6.13,87.309
41947,6.1181,86.984
41948,6.1217,87.444
41949,6.122,88.012
41950,6.1359,87.642
41953,6.1242,87.81
41954,6.1286,87.531
41955,6.1325,87.822
41956,6.1296,87.674
41957,6.1303,87.525
41960,6.126,87.926
41961,6.118,87.575
41962,6.1252,87.647
41963,6.126,87.591
41964,6.1341,88.31
41967,6.1591,88.151
41968,6.1464,87.92
41969,6.1492,87.607
41970,6.1471,87.607
41971,6.1604,88.356
41974,6.1581,87.946
41975,6.1565,88.647
41976,6.1474,88.956
41977,6.152,88.704
41978,6.1597,89.334
41981,6.1731,89.041
41982,6.1892,88.69
41983,6.1798,88.271
41984,6.1964,88.663
41985,6.1954,88.363
41988,6.1993,88.46
41989,6.1927,88.125
41990,6.2018,89.133
41991,6.2209,89.235
41992,6.2238,89.598
41995,6.2193,89.77
41996,6.2313,90.064
41997,6.2253,89.967
41998,6.207,89.835
41999,6.2179,90.03
42002,6.2336,90.19
42003,6.2167,89.991
42004,6.2165,90.269
42005,6.219,90.276
42006,6.2285,91.08
42009,6.2279,91.378
42010,6.2122,91.499
42011,6.2158,91.89
42012,6.2183,92.368
42013,6.2054,91.935
42016,6.1973,91.983
42017,6.1964,92.31
42018,6.1942,92.161
42019,6.2107,92.352
42020,6.2359,92.52
42023,6.2239,92.52
42024,6.2215,93.046
42025,6.2167,92.904
42026,6.2212,94.077
42027,6.2519,94.762
42030,6.2541,94.802
42031,6.2434,94.022
42032,6.2588,94.467
42033,6.2618,94.782
42034,6.2835,94.804
42037,6.2694,94.504
42038,6.2577,93.6
42039,6.2561,93.986
42040,6.2426,93.569
42041,6.2484,94.698
42044,6.2539,94.449
42045,6.2566,94.758
42046,6.2468,94.985
42047,6.2407,94.094
42048,6.2419,94.201
42051,6.2657,94.201
42052,6.2761,94.061
42053,6.2739,94.198
42054,6.2776,94.404
42055,6.2787,94.253
42058,6.2731,94.569
42059,6.2632,94.493
42060,6.2715,94.213
42061,6.2791,95.292
42062,6.2872,95.293
42065,6.2903,95.462
42066,6.2851,95.383
42067,6.2878,95.965
42068,6.2747,96.378
42069,6.2849,97.615
42072,6.273,97.588
42073,6.2836,98.618
42074,6.2782,99.795
42075,6.2757,99.435
42076,6.2856,100.33
42079,6.2701,99.604
42080,6.2479,99.585
42081,6.2235,98.55
42082,6.2164,99.26
42083,6.2035,97.909
42086,6.2047,97.033
42087,6.2104,97.193
42088,6.2114,96.979
42089,6.216,97.436
42090,6.2118,97.291
42093,6.2084,97.975
42094,6.2059,98.357
42095,6.2046,98.185
42096,6.2,97.436
42097,6.1959,96.545
42100,6.1962,96.777
42101,6.2002,97.83
42102,6.2065,97.94
42103,6.2182,99.155
42104,6.2179,99.338
42107,6.2257,99.49
42108,6.2149,98.733
42109,6.2006,98.319
42110,6.1884,97.415
42111,6.1947,97.52
42114,6.1962,97.941
42115,6.1972,98.004
42116,6.1947,97.932
42117,6.1909,97.278
42118,6.1967,96.922
42121,6.2155,96.765
42122,6.2048,96.092
42123,6.2016,95.209
42124,6.208,94.6
42125,6.2128,95.297
42128,6.2118,95.48
42129,6.207,95.076
42130,6.2025,94.087
42131,6.2129,94.635
42132,6.2092,94.794
42135,6.213,95.011
42136,6.2094,94.534
42137,6.2004,93.617
42138,6.2043,93.457
42139,6.2028,93.135
42142,6.2059,94.221
42143,6.2095,95.267
42144,6.2057,95.448
42145,6.197,95.255
42146,6.2007,96.014
42149,6.2028,96.014
42150,6.2094,97.299
42151,6.2052,97.371
42152,6.204,96.965
42153,6.2023,96.907
42156,6.2053,97.392
42157,6.2006,95.835
42158,6.1995,95.465
42159,6.2048,95.461
42160,6.2118,96.306
42163,6.2088,95.299
42164,6.2117,95.166
42165,6.2083,94.646
42166,6.212,94.976
42167,6.216,94.972
42170,6.2129,94.81
42171,6.209,94.999
42172,6.2038,94.296
42173,6.2035,94.042
42174,6.2064,94.085
42177,6.2036,94.329
42178,6.2002,95.432
42179,6.2016,95.264
42180,6.204,95.187
42181,6.2057,95.472
42184,6.2075,94.79
42185,6.2069,95.485
42186,6.2046,96.31
42187,6.2029,96.113
42188,6.2062,96.113
42191,6.2126,96.298
42192,6.2221,96.865
42193,6.2225,96.294
42194,6.2175,96.606
42195,6.2162,96.025
42198,6.2165,96.858
42199,6.2145,96.643
42200,6.2156,97.166
42201,6.2138,97.668
42202,6.2131,97.862
42205,6.214,98.029
42206,6.2092,97.328
42207,6.2121,97.598
42208,6.2141,97.115
42209,6.2274,97.244
42212,6.22,96.502
42213,6.2172,96.772
42214,6.2177,96.976
42215,6.2203,97.56
42216,6.2211,97.336
42219,6.2197,97.494
42220,6.2191,97.931
42221,6.2184,97.958
42222,6.2177,97.833
42223,6.2164,97.563
42226,6.2147,97.159
42227,6.3878,97.29
42228,6.4341,96.262
42229,6.4638,96.445
42230,6.4493,96.52
42233,6.4446,96.806
42234,6.4395,97.04
42235,6.4629,96.359
42236,6.4401,95.98
42237,6.4544,95.008
42240,6.4958,93.332
42241,6.5112,94.53
42242,6.4899,95.1
42243,6.4773,95.61
42244,6.4628,96.106
42247,6.4426,95.824
42248,6.4178,95.45
42249,6.4486,95.828
42250,6.4503,96.405
42251,6.4669,96.229
